,doc_id,title,chunk_id,chunk_text,n_words
0,doc_01,Когда студент поступает в ВУЦ?,0,"В ВУЦ РТУ МИРЭА поступают студенты 2-го курса очной формы обучения по основной образовательной программе. Обучение начинается с 3-го курса, при этом",22
1,doc_01,Когда студент поступает в ВУЦ?,1,"с 3-го курса, при этом все мероприятия отбора проводятся в 4-м семестре (на 2-м курсе).",15
2,doc_02,Можно ли получить дополнительные баллы при поступлении в ВУЦ?,0,Возможность получить дополнительные баллы при поступлении в ВУЦ не предусматривается. Баллы начисляются только за оценку текущей успеваемости и оценку уровня физической подготовки.,22
3,doc_03,Какие и у кого есть преимущества при поступлении?,0,"Право допуска к обучению по программам подготовки запаса имеют граждане – дети военнослужащих, погибших или получивших увечье (ранение, травму, контузию) либо заболевание",22
4,doc_03,Какие и у кого есть преимущества при поступлении?,1,"(ранение, травму, контузию) либо заболевание при исполнении обязанностей военной службы в ходе специальной военной операции, допущенные к конкурсному отбору и соответствующие требованиям",22
5,doc_03,Какие и у кого есть преимущества при поступлении?,2,конкурсному отбору и соответствующие требованиям по уровню физической подготовки.,9
6,doc_04,Сколько длится обучение в Военном учебном центре РТУ МИРЭА?,0,"В зависимости от программ военной подготовки:Офицеры запаса — 3 года (6 семестров);Сержанты запаса — 2,5 года (5 семестров);Солдаты запаса — 2 года",22
7,doc_04,Сколько длится обучение в Военном учебном центре РТУ МИРЭА?,1,семестров);Солдаты запаса — 2 года (4 семестров),7
8,doc_05,"Что делать, если по результатам медицинского освидетельствования установлена категория В, Г или 4-я группа профпригодности?",0,"Если по результатам медицинского обследования установлена категория В или Г, а также если у кандидата 4-я категория профессиональной пригодности, то проходить дальнейшие",22
9,doc_05,"Что делать, если по результатам медицинского освидетельствования установлена категория В, Г или 4-я группа профпригодности?",1,"профессиональной пригодности, то проходить дальнейшие мероприятия не надо.",8
10,doc_06,Нужно ли служить в ВС РФ после окончания ВУЦ?,0,"По окончании обучения в ВУЦ по программам подготовки солдат запаса, сержантов запаса или офицеров запаса необходимости в обязательном прохождении военной службы по",22
11,doc_06,Нужно ли служить в ВС РФ после окончания ВУЦ?,1,"обязательном прохождении военной службы по призыву не будет. В этом случае студенту присваивается воинское звание, и он зачисляется в запас.",20
12,doc_07,В случае отчисления из ВУЦ надо ли компенсировать затраты на обучение?,0,"При обучении по программам подготовки солдат запаса, сержантов запаса или офицеров запаса в случае отчисления из ВУЦ компенсировать затраты на обучение не",22
13,doc_07,В случае отчисления из ВУЦ надо ли компенсировать затраты на обучение?,1,компенсировать затраты на обучение не нужно. При этом студент продолжает обучение в университете.,13
14,doc_08,Куда необходимо подать заявление для поступления?,0,В личном кабинете студентов 2-го и 3-го курсов появится возможность заполнения электронной формы заявления об участии в конкурсном отборе для допуска к,22
15,doc_08,Куда необходимо подать заявление для поступления?,1,конкурсном отборе для допуска к военной подготовке. Заявление необходимо заполнить с 10 по 28 марта.,15
16,doc_09,"Что делать, если студент меняет паспорт в момент поступления?",0,"При замене паспорта на этапе подачи заявления допускается использование копии имеющегося паспорта. При подаче документов указывайте данные старого паспорта, а после, как",22
17,doc_09,"Что делать, если студент меняет паспорт в момент поступления?",1,"старого паспорта, а после, как получите новый, предоставьте в ВУЦ сведения о нём.",13
18,doc_10,Как сдать нормативы по физической подготовке?,0,"Со студентами, успешно прошедшими предварительный отбор, с 15 мая по 14 июня 2026 года проводится оценка физической подготовки. Даты и место проведения",22
19,doc_10,Как сдать нормативы по физической подготовке?,1,"подготовки. Даты и место проведения оценки физической подготовки, а также порядок записи будут сообщены после 10 мая 2026 года. Студент прибывает на",22
20,doc_10,Как сдать нормативы по физической подготовке?,2,"2026 года. Студент прибывает на оценку физической подготовки в спортивной форме одежды с документом, удостоверяющим личность, и паспортом физической подготовки.",20
21,doc_11,Кто имеет право сдавать нормативы по физической подготовке?,0,"До сдачи нормативов по физической подготовке допускаются граждане, прошедшие медицинское освидетельствование, профессиональный психологический отбор и допущенные по состоянию здоровья.",19
22,doc_12,Принцип формирования протоколов для допуска к военной подготовке?,0,"Протокол конкурсного отбора граждан для допуска к военной подготовке в ВУЦ формируется по количеству наибольших баллов. У кого баллов больше, тот находится",22
23,doc_12,Принцип формирования протоколов для допуска к военной подготовке?,1,"кого баллов больше, тот находится вверху списка, и далее по убывающей.",11
24,doc_13,"Что делать, если заболел на момент сдачи нормативов по физической подготовке?",0,"Вы можете сдать нормативы по физической подготовке в другой день, определённый кафедрой физического воспитания.",14
25,doc_14,Как перезаписаться на сдачу нормативов по физической подготовке?,0,"Чтобы заново записаться на сдачу нормативов, направьте письмо на тот же адрес электронной почты, что использовался при записи. Перезапись возможна, только если",22
26,doc_14,Как перезаписаться на сдачу нормативов по физической подготовке?,1,"записи. Перезапись возможна, только если кандидат по каким-либо причинам не смог прибыть на место сдачи нормативов и не сдавал их. Пересдача нормативов",22
27,doc_14,Как перезаписаться на сдачу нормативов по физической подготовке?,2,не сдавал их. Пересдача нормативов с целью повышения оценки не допускается.,11
28,doc_15,"Категории годности, с которыми граждане допускаются для обучения в ВУЦ?",0,"Для допуска к военной подготовке в ВУЦ кандидат должен иметь категории годности к военной службе: А (А1, А2…) или Б (Б1, Б2,",22
29,doc_15,"Категории годности, с которыми граждане допускаются для обучения в ВУЦ?",1,"А2…) или Б (Б1, Б2, Б3…).",6
30,doc_16,Где гражданину получить справку по форме № 2?,0,"Справка по форме № 2 выдается отделом воинского учёта обучающихся и бронирования в кабинете А-312 по адресу: проспект Вернадского, 78 или Стромынка,",22
31,doc_16,Где гражданину получить справку по форме № 2?,1,"проспект Вернадского, 78 или Стромынка, 20, кабинет А-302. ВУЦ воинским учётом не занимается и подобных справок не выдаёт.",18
32,doc_17,Принцип формирования списков поступающих в ВУЦ (рейтинга)?,0,Решение о допуске к военной подготовке в Военном учебном центре принимается в зависимости от итоговой суммы баллов. Баллы за сдачу физической подготовки,22
33,doc_17,Принцип формирования списков поступающих в ВУЦ (рейтинга)?,1,Баллы за сдачу физической подготовки и текущей успеваемости учитываются одинаково.,10
34,doc_18,Обязательно ли поступление в магистратуру при обучении в ВУЦ?,0,При обучении по программам подготовки офицеров запаса и освоения направлений бакалавриата для окончания полного курса военной подготовки необходимо поступление в магистратуру РТУ,22
35,doc_18,Обязательно ли поступление в магистратуру при обучении в ВУЦ?,1,необходимо поступление в магистратуру РТУ МИРЭА на очную форму обучения.,10
